cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
EKF,0.3145,0.905,2.0,1758,0,560,1.1583340167999268,1.045967698097229,0.0,0.22469748556613922,7.032
EKF_P,0.3145,0.905,2.0,1208,0,560,1.1583340167999268,1.045967698097229,0.0,0.22562341392040253,4.832
REFF,0.5222,0.8667,10.0,797,0,560,1.02499520778656,1.0048726797103882,0.01939101703464985,0.0,3.188
TRIM,0.5222,0.8667,10.0,1621,0,560,1.02499520778656,1.0048726797103882,0.0,0.0,6.484
SOLVE,0.5222,0.8667,10.0,11557,17,560,1.02499520778656,1.0048726797103882,0.0,-70.2057113647461,46.228
FULL,0.5222,0.8667,10.0,13157,17,560,1.02499520778656,1.0048726797103882,0.0,-70.2057113647461,52.628
FEAT,0.5222,0.8667,10.0,3315,0,560,1.02499520778656,1.0048726797103882,0.0,0.0,13.26
FEAT_A8,0.5222,0.8667,10.0,1494,0,560,1.02499520778656,1.0048726797103882,0.0,0.0,5.976
EKF,0.5222,0.8667,10.0,1751,0,560,1.02499520778656,1.0048726797103882,0.0,0.22735783457756042,7.004
EKF_P,0.5222,0.8667,10.0,1189,0,560,1.02499520778656,1.0048726797103882,0.0,0.22828376293182373,4.756
REFF,0.2649,0.8831,10.0,799,0,560,1.0400176048278809,1.0095155239105225,0.022727519273757935,0.0,3.196
TRIM,0.2649,0.8831,10.0,1626,0,560,1.0400176048278809,1.0095155239105225,0.0,0.0,6.504
SOLVE,0.2649,0.8831,10.0,10418,16,560,1.0400176048278809,1.0095155239105225,0.0,-35.10076141357422,41.672
FULL,0.2649,0.8831,10.0,12024,16,560,1.0400176048278809,1.0095155239105225,0.0,-35.10076141357422,48.096
FEAT,0.2649,0.8831,10.0,3334,0,560,1.0400176048278809,1.0095155239105225,0.0,0.0,13.336
FEAT_A8,0.2649,0.8831,10.0,1519,0,560,1.0400176048278809,1.0095155239105225,0.0,0.0,6.076
EKF,0.2649,0.8831,10.0,1763,0,560,1.0400176048278809,1.0095155239105225,0.0,0.22627656161785126,7.052
EKF_P,0.2649,0.8831,10.0,1219,0,560,1.0400176048278809,1.0095155239105225,0.0,0.22720248997211456,4.876
REFF,0.5422,0.9774,10.0,812,0,560,1.0554839372634888,1.014271855354309,0.014410821720957756,0.0,3.248
TRIM,0.5422,0.9774,10.0,1621,0,560,1.0554839372634888,1.014271855354309,0.0,0.0,6.484
SOLVE,0.5422,0.9774,10.0,11688,17,560,1.0554839372634888,1.014271855354309,0.0,-66.88668060302734,46.752
