cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
SOLVE,0.6083,0.7593,10.0,12050,17,640,1.070502519607544,1.0256848335266113,0.0,-41.62123489379883,48.2
FULL,0.6083,0.7593,10.0,13624,17,640,1.070502519607544,1.0256848335266113,0.0,-41.62123489379883,54.496
FEAT,0.6083,0.7593,10.0,3187,0,640,1.070502519607544,1.0256848335266113,0.0,0.0,12.748
EKF,0.6083,0.7593,10.0,1989,0,640,1.070502519607544,1.0256848335266113,0.0,0.24792402982711792,7.956
EKF_P,0.6083,0.7593,10.0,1308,0,640,1.070502519607544,1.0256848335266113,0.0,0.24884995818138123,5.232
REFF,0.7782,0.8724,10.0,768,0,640,1.0424747467041016,1.0111654996871948,0.02086990512907505,0.0,3.072
TRIM,0.7782,0.8724,10.0,1620,0,640,1.0424747467041016,1.0111654996871948,0.0,0.0,6.48
SOLVE,0.7782,0.8724,10.0,12005,17,640,1.0424747467041016,1.0111654996871948,0.0,-69.68280792236328,48.02
FULL,0.7782,0.8724,10.0,13571,17,640,1.0424747467041016,1.0111654996871948,0.0,-69.68280792236328,54.284
FEAT,0.7782,0.8724,10.0,3161,0,640,1.0424747467041016,1.0111654996871948,0.0,0.0,12.644
EKF,0.7782,0.8724,10.0,1963,0,640,1.0424747467041016,1.0111654996871948,0.0,0.2506605386734009,7.852
EKF_P,0.7782,0.8724,10.0,1301,0,640,1.0424747467041016,1.0111654996871948,0.0,0.2515864670276642,5.204
REFF,0.8979,0.8306,2.0,704,0,640,1.0823243856430054,1.0244419574737549,0.02252504974603653,0.0,2.816
TRIM,0.8979,0.8306,2.0,1615,0,640,1.0823243856430054,1.0244419574737549,0.0,0.0,6.46
SOLVE,0.8979,0.8306,2.0,11249,17,640,1.0823243856430054,1.0244419574737549,0.0,-46.827606201171875,44.996
FULL,0.8979,0.8306,2.0,12810,17,640,1.0823243856430054,1.0244419574737549,0.0,-46.827606201171875,51.24
FEAT,0.8979,0.8306,2.0,3189,0,640,1.0823243856430054,1.0244419574737549,0.0,0.0,12.756
EKF,0.8979,0.8306,2.0,1950,0,640,1.0823243856430054,1.0244419574737549,0.0,0.24821920692920685,7.8
EKF_P,0.8979,0.8306,2.0,1308,0,640,1.0823243856430054,1.0244419574737549,0.0,0.24914513528347015,5.232
REFF,0.7271,0.851,2.0,710,0,640,1.0769729614257812,1.0226322412490845,0.016957975924015045,0.0,2.84
TRIM,0.7271,0.851,2.0,1615,0,640,1.0769729614257812,1.0226322412490845,0.0,0.0,6.46
SOLVE,0.7271,0.851,2.0,11188,17,640,1.0769729614257812,1.0226322412490845,0.0,-72.72749328613281,44.752
FULL,0.7271,0.851,2.0,12750,17,640,1.0769729614257812,1.0226322412490845,0.0,-72.72749328613281,51.0
FEAT,0.7271,0.851,2.0,3180,0,640,1.0769729614257812,1.0226322412490845,0.0,0.0,12.72
EKF,0.7271,0.851,2.0,1962,0,640,1.0769729614257812,1.0226322412490845,0.0,0.24928255379199982,7.848
EKF_P,0.7271,0.851,2.0,1301,0,640,1.0769729614257812,1.0226322412490845,0.0,0.25020846724510193,5.204
REFF,0.2892,0.917,10.0,786,0,640,1.1394177675247192,1.0524203777313232,0.018722286447882652,0.0,3.144
TRIM,0.2892,0.917,10.0,1675,0,640,1.1394177675247192,1.0524203777313232,0.0,0.0,6.7
SOLVE,0.2892,0.917,10.0,12017,17,640,1.1394177675247192,1.0524203777313232,0.0,-48.74193572998047,48.068
FULL,0.2892,0.917,10.0,13622,17,640,1.1394177675247192,1.0524203777313232,0.0,-48.74193572998047,54.488
