fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,1100,0.8879,25,0.500,94.69,94.97,93.46,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.500,86.28,90.14,88.13,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.400,91.84,91.50,89.89,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.400,82.67,85.79,83.64,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.300,88.15,83.30,81.49,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.300,69.26,67.97,63.67,1.1303,1.0377,voltage
BOOST,discharge,1100,0.8879,25,0.200,75.96,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,0.200,35.48,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.150,52.42,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,0.150,22.17,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.100,32.32,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,0.100,13.77,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.050,19.98,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,0.050,9.04,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.020,13.23,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,0.020,6.15,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.005,10.15,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1220,0.8650,25,1.000,103.79,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,10,1.000,94.79,,,1.1491,1.0436,out-of-hull
BOOST,discharge,1220,0.8650,25,0.950,103.41,104.39,102.20,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.950,94.59,97.80,94.73,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.900,102.85,103.56,101.42,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.900,94.16,97.56,94.68,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.800,101.17,100.98,98.93,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.800,92.90,95.21,92.48,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.700,99.33,98.68,96.73,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.700,90.96,93.31,90.72,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,25,0.600,96.79,95.51,93.60,1.1491,1.0436,current
BOOST,discharge,1220,0.8650,10,0.600,88.32,90.16,87.60,1.1491,1.0436,current
