cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.678,3.5936,300.0,12,9.2588,0.001,0.2134,6.6595,9.6139,0.487
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.704,3.5094,300.0,12,9.5044,0.001,0.2134,5.9435,8.0319,0.784
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.808,4.185,1457.4,12,10.417,0.001,0.2134,4.6893,5.1242,0.933
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.848,4.104,300.0,12,9.9077,0.001,0.2134,3.3528,5.7767,1.029
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.812,4.082,300.0,12,9.7275,0.001,0.2134,4.2933,8.528,0.808
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.735,4.0309,300.0,12,9.862,0.001,0.2134,5.9576,8.7874,0.987
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.768,3.9238,300.0,12,9.7566,0.001,0.2134,4.8325,8.2762,1.142
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.749,3.8303,300.0,12,9.3076,0.001,0.2134,5.2356,9.0547,0.921
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.715,3.7373,300.0,12,9.2453,0.001,0.2134,5.8394,8.528,0.838
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.704,3.6543,300.0,12,9.2089,0.001,0.2134,6.0118,8.7874,0.556
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.681,3.5936,300.0,12,9.2671,0.001,0.2134,6.6562,9.6139,0.497
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.709,3.5092,300.0,12,9.5127,0.001,0.2134,5.9434,8.0319,0.795
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.81,4.1849,1458.4,12,10.4233,0.001,0.2134,4.6885,5.1242,0.965
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.851,4.104,300.0,12,9.9145,0.001,0.2134,3.3499,5.7767,1.011
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.815,4.0821,300.0,12,9.7415,0.001,0.2134,4.3682,8.7874,0.782
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.736,4.0307,300.0,12,9.8611,0.001,0.2134,5.9643,8.7874,0.979
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.77,3.9239,300.0,12,9.7647,0.001,0.2134,4.8292,8.2762,1.18
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.753,3.8302,300.0,12,9.3142,0.001,0.2134,5.3263,9.3301,0.958
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.718,3.7369,300.0,12,9.2394,0.001,0.2134,5.8331,8.528,0.798
