cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,40,0.99362,2.95442,0.9005,charge,0,1.476,4.084,70.4,101,8.433,0.9492,0.2521,4.9299,7.0557,0.1229
CC,40,0.99362,2.95442,0.9004,discharge,1,-11.821,4.0827,635.5,101,8.855,0.833,0.5192,4.6536,6.9103,0.2401
CC,40,0.99362,2.95442,0.9005,charge,1,5.909,4.0854,160.1,101,7.0859,2.1054,0.0669,3.9232,5.5828,0.2868
CC,40,0.99362,2.95442,0.9003,discharge,2,-23.643,4.0829,680.8,101,8.855,0.9511,0.6623,4.169,8.9029,0.3449
CC,40,0.99362,2.95442,0.9005,charge,2,10.339,4.0865,280.1,101,5.5997,5.4118,0.0949,0.01,3000.0,1.0159
CC,40,0.99362,2.95442,0.9002,discharge,3,-33.981,4.0832,724.9,101,8.7574,0.817,0.5181,4.3624,9.7479,0.4055
CC,40,0.99362,2.95442,0.9005,charge,3,10.372,4.0875,384.9,101,6.9724,3.9109,0.05,0.01,3000.0,0.7365
CC,40,0.99362,2.95442,0.8019,discharge,0,-2.957,4.0285,5421.6,101,8.7138,1.0089,0.6311,10.685,11.9254,0.0911
CC,40,0.99362,2.95442,0.802,charge,0,1.476,4.0304,70.5,101,8.4603,0.939,0.4371,7.5517,9.2905,0.1563
CC,40,0.99362,2.95442,0.8019,discharge,1,-11.821,4.0287,635.5,101,8.7262,0.9506,0.5451,7.2387,7.8983,0.2256
CC,40,0.99362,2.95442,0.802,charge,1,5.911,4.0323,160.1,101,8.5626,0.8713,0.5492,5.5906,8.9084,0.1625
CC,40,0.99362,2.95442,0.8017,discharge,2,-23.642,4.0288,681.0,101,8.7006,1.0787,0.6218,5.8499,8.8318,0.4185
CC,40,0.99362,2.95442,0.802,charge,2,15.08,4.0336,280.2,101,4.6036,6.4561,0.1953,0.01,3000.0,1.2444
CC,40,0.99362,2.95442,0.8017,discharge,3,-33.981,4.0292,771.5,101,8.6098,0.922,0.5166,5.4202,8.7265,0.4792
CC,40,0.99362,2.95442,0.802,charge,3,15.213,4.0342,385.1,101,5.5309,5.4027,0.0884,0.01,3000.0,1.4279
CC,40,0.99362,2.95442,0.7034,discharge,0,-2.957,3.9225,5469.5,101,8.7496,0.856,0.6784,12.1364,13.4189,0.1114
CC,40,0.99362,2.95442,0.7035,charge,0,1.476,3.9248,70.5,101,8.2562,1.0922,0.3939,6.9194,8.8277,0.1331
CC,40,0.99362,2.95442,0.7034,discharge,1,-11.821,3.9227,635.5,100,8.6446,0.8379,0.4471,6.2508,6.2396,0.236
CC,40,0.99362,2.95442,0.7035,charge,1,5.908,3.9276,160.2,101,8.4971,0.7659,0.4795,4.6607,8.0894,0.1308
CC,40,0.99362,2.95442,0.7033,discharge,2,-23.641,3.9229,680.9,101,8.7274,1.0991,0.6017,4.5453,7.2725,0.4307
CC,40,0.99362,2.95442,0.7036,charge,2,17.73,3.9289,280.2,101,7.8357,1.0755,0.1683,5.0836,9.5327,0.5425
CC,40,0.99362,2.95442,0.7032,discharge,3,-33.982,3.9226,801.7,101,8.626,0.9556,0.5686,4.3513,8.0258,0.5125
CC,40,0.99362,2.95442,0.7036,charge,3,25.277,3.9293,385.0,101,5.9212,4.259,0.1411,0.5459,0.3835,1.3874
CC,40,0.99362,2.95442,0.6049,discharge,0,-2.957,3.8497,5569.6,100,8.7612,0.9762,0.5305,13.5798,13.0542,0.0916
CC,40,0.99362,2.95442,0.6049,charge,0,1.478,3.8513,70.5,101,8.7336,1.2988,0.8883,9.8374,13.6013,0.1218
CC,40,0.99362,2.95442,0.6048,discharge,1,-11.821,3.8499,635.5,101,8.8472,0.9419,0.6029,6.46,6.9458,0.21
CC,40,0.99362,2.95442,0.605,charge,1,5.91,3.854,160.3,100,8.6912,0.9048,0.6145,5.3029,8.0627,0.15
CC,40,0.99362,2.95442,0.6047,discharge,2,-23.639,3.8501,680.9,101,8.7504,1.0156,0.5635,5.02,7.9085,0.3566
CC,40,0.99362,2.95442,0.605,charge,2,17.729,3.8559,280.3,100,7.2023,1.7657,0.0806,4.3559,7.3849,0.7037
CC,40,0.99362,2.95442,0.6046,discharge,3,-33.98,3.8497,801.4,100,8.6426,0.9032,0.5097,4.9545,9.0858,0.4806
CC,40,0.99362,2.95442,0.6051,charge,3,29.549,3.8572,385.1,100,4.6504,4.0623,0.1452,3.9846,6.8329,1.9746
CC,40,0.99362,2.95442,0.5064,discharge,0,-2.958,3.7305,5614.7,100,8.6513,0.7624,1.1505,9.1445,16.1038,0.1181
CC,40,0.99362,2.95442,0.5064,charge,0,1.475,3.7317,70.5,101,8.5371,0.3766,0.3128,6.1401,8.893,0.1052
CC,40,0.99362,2.95442,0.5063,discharge,1,-11.819,3.7307,635.5,100,8.5424,0.5927,0.5852,6.0182,9.0425,0.1375
CC,40,0.99362,2.95442,0.5065,charge,1,5.91,3.7334,160.2,101,8.489,0.6581,0.7649,5.731,9.6237,0.1299
CC,40,0.99362,2.95442,0.5062,discharge,2,-23.64,3.7309,680.9,100,8.5169,0.6725,0.6458,5.3573,9.149,0.2883
CC,40,0.99362,2.95442,0.5066,charge,2,17.729,3.735,280.2,101,8.3839,0.8189,0.7083,6.3413,13.9527,0.2518
CC,40,0.99362,2.95442,0.5061,discharge,3,-33.984,3.7301,801.8,101,8.4467,0.6496,0.6334,5.259,9.5561,0.3572
CC,40,0.99362,2.95442,0.5067,charge,3,29.549,3.7366,385.4,100,8.3078,0.6654,0.5741,6.4037,13.8848,0.2574
CC,40,0.99362,2.95442,0.4079,discharge,0,-2.958,3.6493,5618.5,101,8.4214,0.7881,1.5191,9.7937,20.1796,0.0889
CC,40,0.99362,2.95442,0.4079,charge,0,1.476,3.6512,70.5,101,8.5217,0.6881,1.0314,7.8436,16.0903,0.1016
CC,40,0.99362,2.95442,0.4078,discharge,1,-11.822,3.6501,635.5,101,8.5069,0.4954,0.5218,6.5121,10.2193,0.1672
CC,40,0.99362,2.95442,0.408,charge,1,5.91,3.6533,160.3,101,8.444,0.4647,0.5143,5.3908,8.6363,0.1198
CC,40,0.99362,2.95442,0.4077,discharge,2,-23.64,3.6497,680.9,101,8.4755,0.5368,0.6381,5.2653,8.4555,0.2806
CC,40,0.99362,2.95442,0.4081,charge,2,17.729,3.6552,280.1,101,8.4008,0.7291,0.8605,4.7433,10.8374,0.2089
