cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,370,0.9527,0.15,3.42403,3.4076,3.44045,32.85
CC,370,0.9527,0.16,3.43224,3.4155,3.44897,33.47
CC,370,0.9527,0.17,3.44099,3.4238,3.45817,34.37
CC,370,0.9527,0.18,3.45136,3.4338,3.46892,35.12
CC,370,0.9527,0.19,3.46329,3.446,3.48058,34.58
CC,370,0.9527,0.2,3.47582,3.4589,3.49274,33.84
CC,370,0.9527,0.21,3.48801,3.4709,3.50512,34.22
CC,370,0.9527,0.22,3.49975,3.4825,3.517,34.5
CC,370,0.9527,0.23,3.51126,3.4935,3.52902,35.52
CC,370,0.9527,0.24,3.52206,3.5035,3.54063,37.13
CC,370,0.9527,0.25,3.5326,3.5135,3.55171,38.21
CC,370,0.9527,0.26,3.5425,3.5229,3.56211,39.21
CC,370,0.9527,0.27,3.55244,3.5325,3.57239,39.89
CC,370,0.9527,0.28,3.56149,3.5417,3.58129,39.59
CC,370,0.9527,0.29,3.57033,3.5511,3.58957,38.47
CC,370,0.9527,0.3,3.57835,3.5597,3.59699,37.29
CC,370,0.9527,0.31,3.58618,3.5683,3.60407,35.77
CC,370,0.9527,0.32,3.59365,3.5763,3.611,34.7
CC,370,0.9527,0.33,3.6007,3.5838,3.61759,33.79
CC,370,0.9527,0.34,3.6077,3.5914,3.624,32.6
CC,370,0.9527,0.35,3.61432,3.5984,3.63025,31.85
CC,370,0.9527,0.36,3.62085,3.6052,3.6365,31.3
CC,370,0.9527,0.37,3.62731,3.612,3.64262,30.62
CC,370,0.9527,0.38,3.63367,3.6183,3.64904,30.74
CC,370,0.9527,0.39,3.64006,3.6249,3.65522,30.32
CC,370,0.9527,0.4,3.64657,3.6312,3.66194,30.74
CC,370,0.9527,0.41,3.65326,3.638,3.66852,30.52
CC,370,0.9527,0.42,3.66013,3.6446,3.67567,31.07
CC,370,0.9527,0.43,3.6674,3.6517,3.6831,31.4
CC,370,0.9527,0.44,3.67481,3.6589,3.69072,31.82
CC,370,0.9527,0.45,3.68276,3.6665,3.69902,32.52
CC,370,0.9527,0.46,3.69115,3.6747,3.70759,32.89
CC,370,0.9527,0.47,3.69991,3.683,3.71682,33.82
CC,370,0.9527,0.48,3.70916,3.6922,3.72612,33.92
CC,370,0.9527,0.49,3.71876,3.7013,3.73622,34.92
CC,370,0.9527,0.5,3.72861,3.7111,3.74612,35.02
CC,370,0.9527,0.51,3.73866,3.7208,3.75652,35.72
CC,370,0.9527,0.52,3.74876,3.731,3.76652,35.52
CC,370,0.9527,0.53,3.75881,3.7408,3.77682,36.02
CC,370,0.9527,0.54,3.7689,3.7509,3.7869,36.0
CC,370,0.9527,0.55,3.77866,3.7606,3.79672,36.12
CC,370,0.9527,0.56,3.78856,3.7703,3.80682,36.52
CC,370,0.9527,0.57,3.79851,3.7803,3.81672,36.42
CC,370,0.9527,0.58,3.80881,3.7905,3.82712,36.62
CC,370,0.9527,0.59,3.81943,3.8013,3.83755,36.25
CC,370,0.9527,0.6,3.83044,3.8123,3.84858,36.28
CC,370,0.9527,0.61,3.84205,3.8244,3.85971,35.31
CC,370,0.9527,0.62,3.85408,3.8371,3.87105,33.95
CC,370,0.9527,0.63,3.86593,3.85,3.88185,31.85
CC,370,0.9527,0.64,3.87708,3.8621,3.89205,29.95
CC,370,0.9527,0.65,3.88653,3.8726,3.90047,27.87
CC,370,0.9527,0.66,3.89458,3.8812,3.90797,26.77
CC,370,0.9527,0.67,3.90195,3.8894,3.91451,25.11
CC,370,0.9527,0.68,3.90863,3.8965,3.92077,24.27
CC,370,0.9527,0.69,3.91552,3.9036,3.92744,23.84
CC,370,0.9527,0.7,3.9225,3.9106,3.9344,23.8
CC,370,0.9527,0.71,3.93007,3.918,3.94215,24.15
CC,370,0.9527,0.72,3.93848,3.9261,3.95087,24.77
CC,370,0.9527,0.73,3.94749,3.9347,3.96028,25.58
CC,370,0.9527,0.74,3.95758,3.9442,3.97096,26.76
CC,370,0.9527,0.75,3.96847,3.9546,3.98235,27.76
CC,370,0.9527,0.76,3.98019,3.9657,3.99469,28.99
CC,370,0.9527,0.77,3.99261,3.9778,4.00742,29.62
CC,370,0.9527,0.78,4.00524,3.99,4.02049,30.49
