cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.9973,discharge,-29.794,2.0,2.0,25.55,1452.4,4.1853,3.83,11.9252,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.794,10.0,9.0,25.55,1452.4,4.1853,3.7597,14.2848,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.84,2.0,1.0,25.9,300.0,4.1044,3.7919,10.4725,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.84,10.0,9.0,25.9,300.0,4.1044,3.7296,12.5603,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,2.0,2.0,26.02,300.0,4.0823,3.7649,10.6489,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,10.0,9.0,26.02,300.0,4.0823,3.7092,12.5176,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.678,2.0,2.0,25.91,300.0,4.0316,3.7013,11.1295,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.678,10.0,9.0,25.91,300.0,4.0316,3.6249,13.7038,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.762,2.0,2.0,25.98,300.0,3.9243,3.6014,10.8492,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.762,10.0,9.0,25.98,300.0,3.9243,3.538,12.9794,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.743,2.0,2.0,25.99,300.0,3.8309,3.5219,10.3888,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.743,10.0,9.0,25.99,300.0,3.8309,3.4555,12.6212,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.706,2.0,2.0,25.85,300.0,3.738,3.426,10.5029,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.706,10.0,9.0,25.85,300.0,3.738,3.3502,13.0546,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.697,2.0,1.0,25.79,300.0,3.6551,3.3615,9.8867,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.697,10.0,9.0,25.79,300.0,3.6551,3.2671,13.0655,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.67,2.0,2.0,25.85,300.0,3.5942,3.2818,10.5292,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.67,10.0,9.0,25.85,300.0,3.5942,3.1998,13.2929,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.684,2.0,2.0,26.03,300.0,3.5108,3.189,10.8409,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.684,10.0,9.0,26.03,300.0,3.5108,3.11,13.5022,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.572,2.0,2.0,26.14,300.0,3.4465,3.126,10.8381,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.572,10.0,9.0,26.14,300.0,3.4465,3.0348,13.9222,2.9103,1.0
