cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,187,0.96527,2.89156,0.1809,10,2.0,charge,3.4548,4.2,4,-28.904,68.512,70.456,1.944,2.37,0.99948
BOOST,187,0.96527,2.89156,0.1809,10,10.0,charge,3.4548,4.2,4,-28.904,54.059,55.895,1.836,1.87,0.99917
BOOST,187,0.96527,2.89156,0.1327,11,2.0,charge,3.4108,4.2,4,-28.903,71.878,75.071,3.193,2.487,0.99887
BOOST,187,0.96527,2.89156,0.1327,11,10.0,charge,3.4108,4.2,4,-28.903,57.634,58.989,1.355,1.994,0.99951
BOOST,187,0.96527,2.89156,0.0845,12,2.0,charge,3.3601,4.2,4,-28.903,71.16,76.826,5.667,2.462,0.99569
BOOST,187,0.96527,2.89156,0.0845,12,10.0,charge,3.3601,4.2,4,-28.903,59.873,63.192,3.318,2.072,0.99572
BOOST,225,0.96037,2.87689,0.9521,1,2.0,charge,4.1031,4.2,4,-7.08,7.198,6.861,0.337,1.017,0.9873
BOOST,225,0.96037,2.87689,0.9521,1,10.0,charge,4.1031,4.2,4,-7.08,6.805,,,0.961,0.97878
BOOST,225,0.96037,2.87689,0.9042,2,2.0,charge,4.0837,4.2,4,-9.442,9.473,9.472,0.001,1.003,0.99828
BOOST,225,0.96037,2.87689,0.9042,2,10.0,charge,4.0837,4.2,4,-9.442,9.288,,,0.984,0.99161
BOOST,225,0.96037,2.87689,0.8083,3,2.0,charge,4.0308,4.2,4,-14.024,13.98,13.664,0.316,0.997,0.99962
BOOST,225,0.96037,2.87689,0.8083,3,10.0,charge,4.0308,4.2,4,-14.024,13.856,13.952,0.096,0.988,0.99394
BOOST,225,0.96037,2.87689,0.7124,4,2.0,charge,3.9262,4.2,4,-24.117,24.666,24.051,0.615,1.023,0.99584
BOOST,225,0.96037,2.87689,0.7124,4,10.0,charge,3.9262,4.2,4,-24.117,22.977,24.074,1.097,0.953,0.98768
BOOST,225,0.96037,2.87689,0.6166,5,2.0,charge,3.849,4.2,4,-28.764,34.031,34.625,0.594,1.183,0.99921
BOOST,225,0.96037,2.87689,0.6166,5,10.0,charge,3.849,4.2,4,-28.764,28.257,28.745,0.489,0.982,0.99729
BOOST,225,0.96037,2.87689,0.5207,6,2.0,charge,3.7368,4.2,4,-28.765,45.296,45.971,0.675,1.575,0.99976
BOOST,225,0.96037,2.87689,0.5207,6,10.0,charge,3.7368,4.2,4,-28.765,35.962,36.311,0.349,1.25,0.99977
BOOST,225,0.96037,2.87689,0.4248,7,2.0,charge,3.655,4.2,4,-28.767,54.089,55.126,1.037,1.88,0.99973
BOOST,225,0.96037,2.87689,0.4248,7,10.0,charge,3.655,4.2,4,-28.767,43.893,44.21,0.316,1.526,0.99981
BOOST,225,0.96037,2.87689,0.3289,8,2.0,charge,3.5944,4.2,4,-28.764,58.586,59.908,1.323,2.037,0.99968
BOOST,225,0.96037,2.87689,0.3289,8,10.0,charge,3.5944,4.2,4,-28.764,48.15,49.151,1.001,1.674,0.99947
BOOST,225,0.96037,2.87689,0.233,9,2.0,charge,3.5111,4.2,4,-28.765,62.978,64.534,1.556,2.189,0.99954
BOOST,225,0.96037,2.87689,0.233,9,10.0,charge,3.5111,4.2,4,-28.765,50.692,52.737,2.045,1.762,0.99881
BOOST,225,0.96037,2.87689,0.185,10,2.0,charge,3.4554,4.2,4,-28.765,67.212,69.071,1.86,2.337,0.9995
BOOST,225,0.96037,2.87689,0.185,10,10.0,charge,3.4554,4.2,4,-28.765,53.057,54.876,1.819,1.845,0.99913
BOOST,225,0.96037,2.87689,0.1371,11,2.0,charge,3.4119,4.2,4,-28.763,71.81,75.743,3.933,2.497,0.99823
BOOST,225,0.96037,2.87689,0.1371,11,10.0,charge,3.4119,4.2,4,-28.763,57.213,58.969,1.756,1.989,0.99919
BOOST,225,0.96037,2.87689,0.0891,12,2.0,charge,3.36,4.2,4,-28.764,71.024,76.351,5.327,2.469,0.99588
BOOST,225,0.96037,2.87689,0.0891,12,10.0,charge,3.36,4.2,4,-28.764,59.703,63.1,3.397,2.076,0.99558
BOOST,262,0.95475,2.86005,0.9524,1,2.0,charge,4.102,4.2,4,-6.925,7.053,6.982,0.071,1.019,0.98643
BOOST,262,0.95475,2.86005,0.9524,1,10.0,charge,4.102,4.2,4,-6.925,6.662,6.925,0.263,0.962,0.9778
BOOST,262,0.95475,2.86005,0.9047,2,2.0,charge,4.0833,4.2,4,-9.291,9.313,9.197,0.116,1.002,0.99794
BOOST,262,0.95475,2.86005,0.9047,2,10.0,charge,4.0833,4.2,4,-9.291,9.111,9.221,0.11,0.981,0.9915
BOOST,262,0.95475,2.86005,0.8094,3,2.0,charge,4.0293,4.2,4,-14.0,13.953,,,0.997,0.99974
BOOST,262,0.95475,2.86005,0.8094,3,10.0,charge,4.0293,4.2,4,-14.0,13.829,14.077,0.248,0.988,0.9938
BOOST,262,0.95475,2.86005,0.7141,4,2.0,charge,3.9255,4.2,4,-24.136,24.67,24.077,0.593,1.022,0.99614
BOOST,262,0.95475,2.86005,0.7141,4,10.0,charge,3.9255,4.2,4,-24.136,23.013,24.108,1.095,0.953,0.98772
