protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.5042,6,discharge,0,-2.971,0.99,10.0,9.9,3.7295,3.6877,14.0674,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5043,6,charge,0,1.484,0.494,2.0,1.9,3.7305,3.7461,10.5157,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5043,6,charge,0,1.484,0.494,10.0,9.9,3.7305,3.7507,13.6164,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5042,6,discharge,1,-11.89,3.963,2.0,2.0,3.7295,3.6029,10.6476,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5042,6,discharge,1,-11.89,3.963,10.0,9.9,3.7295,3.5683,13.5576,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5043,6,charge,1,5.942,1.981,2.0,1.9,3.7321,3.7945,10.5019,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5043,6,charge,1,5.942,1.981,10.0,9.9,3.7321,3.8109,13.262,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5041,6,discharge,2,-23.774,7.925,2.0,2.0,3.7296,3.4794,10.5241,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5041,6,discharge,2,-23.774,7.925,10.0,9.9,3.7296,3.418,13.1068,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5044,6,charge,2,17.829,5.943,2.0,1.9,3.7339,3.9162,10.2249,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5044,6,charge,2,17.829,5.943,10.0,9.9,3.7339,3.9618,12.7825,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.504,6,discharge,3,-34.175,11.392,2.0,1.9,3.7298,3.377,10.3233,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.504,6,discharge,3,-34.175,11.392,10.0,9.9,3.7298,3.2916,12.8222,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5044,6,charge,3,29.717,9.906,2.0,2.0,3.7354,4.0336,10.0347,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5044,6,charge,3,29.717,9.906,10.0,9.9,3.7354,4.1079,12.5349,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,discharge,0,-2.974,0.991,2.0,2.0,3.6493,3.6178,10.5936,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,discharge,0,-2.974,0.991,10.0,9.9,3.6493,3.6085,13.7212,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,charge,0,1.486,0.495,2.0,1.9,3.6505,3.6658,10.2982,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,charge,0,1.486,0.495,10.0,9.9,3.6505,3.67,13.1251,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4051,7,discharge,1,-11.888,3.963,2.0,2.0,3.6486,3.5244,10.4475,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4051,7,discharge,1,-11.888,3.963,10.0,9.9,3.6486,3.4894,13.3917,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,charge,1,5.944,1.981,2.0,2.0,3.6526,3.7141,10.3471,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4052,7,charge,1,5.944,1.981,10.0,9.9,3.6526,3.7298,12.9885,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.405,7,discharge,2,-23.776,7.925,2.0,2.0,3.6495,3.4007,10.4643,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.405,7,discharge,2,-23.776,7.925,10.0,9.9,3.6495,3.339,13.0594,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4053,7,charge,2,17.831,5.944,2.0,2.0,3.6541,3.8356,10.1789,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4053,7,charge,2,17.831,5.944,10.0,9.9,3.6541,3.8747,12.3717,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4049,7,discharge,3,-34.172,11.391,2.0,2.0,3.6497,3.2957,10.3594,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4049,7,discharge,3,-34.172,11.391,10.0,9.9,3.6497,3.2129,12.7824,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4054,7,charge,3,29.717,9.906,2.0,2.0,3.6553,3.9511,9.9539,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.4054,7,charge,3,29.717,9.906,10.0,9.9,3.6553,4.0165,12.1547,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.3061,8,discharge,0,-2.974,0.991,2.0,2.0,3.5908,3.5593,10.5932,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.3061,8,discharge,0,-2.974,0.991,10.0,9.9,3.5908,3.5499,13.7544,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
