temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
25,25.3,10.0,0.7375,charge,4.994,20.2,3.8897,3.9554,13.1563
25,25.39,10.0,0.6897,charge,4.997,20.2,3.8222,3.8896,13.487
25,25.97,10.0,0.6893,discharge,-29.837,20.2,3.8153,3.4243,13.1045
25,25.98,10.0,0.6919,charge,4.988,20.2,3.8266,3.8951,13.733
25,26.04,10.0,0.6441,charge,5.0,20.2,3.7708,3.8371,13.2613
25,25.39,10.0,0.6437,discharge,-29.823,20.2,3.7652,3.3676,13.332
25,25.46,10.0,0.6464,charge,4.993,20.2,3.7728,3.8389,13.2385
25,26.08,10.0,0.5986,charge,5.0,20.2,3.7208,3.7872,13.2813
25,25.99,10.0,0.5981,discharge,-29.837,20.2,3.7151,3.3145,13.4263
25,25.87,10.0,0.6008,charge,4.994,20.2,3.7232,3.7888,13.1368
25,25.3,10.0,0.553,charge,5.0,20.2,3.6763,3.7424,13.2211
25,25.33,10.0,0.5526,discharge,-29.864,20.2,3.67,3.2702,13.3874
25,25.7,10.0,0.5553,charge,4.993,20.2,3.6792,3.7443,13.0377
25,25.27,10.0,0.5074,charge,4.999,20.2,3.6414,3.7068,13.0821
25,25.92,10.0,0.507,discharge,-29.857,20.2,3.6346,3.2323,13.4742
25,25.56,10.0,0.5097,charge,4.992,20.2,3.6444,3.7094,13.0198
25,25.9,10.0,0.4616,charge,4.999,20.2,3.6103,3.6762,13.1816
25,25.72,10.0,0.4611,discharge,-29.639,20.2,3.6033,3.1956,13.7555
25,25.37,10.0,0.4638,charge,4.99,20.2,3.6135,3.6789,13.1052
25,25.31,10.0,0.4152,charge,5.0,20.2,3.5763,3.6438,13.5014
25,25.69,10.0,0.4148,discharge,-26.163,20.2,3.5702,3.199,14.188
25,26.02,10.0,0.4171,charge,4.992,20.2,3.581,3.6471,13.2422
25,25.8,10.0,0.3678,charge,5.0,20.2,3.5309,3.6002,13.8608
25,26.01,10.0,0.3673,discharge,-22.119,20.2,3.5255,3.1996,14.7339
25,25.57,10.0,0.3693,charge,4.99,20.2,3.5362,3.6057,13.9284
25,25.66,10.0,0.3196,charge,5.0,20.2,3.4724,3.5454,14.6003
25,25.64,10.0,0.3191,discharge,-16.81,20.2,3.4672,3.2028,15.7287
25,25.65,10.0,0.3206,charge,4.992,20.2,3.4761,3.5492,14.6449
25,26.18,10.0,0.2703,charge,4.997,20.2,3.4137,3.4875,14.7677
25,26.14,10.0,0.2699,discharge,-10.129,20.2,3.408,3.2175,18.8074
25,26.01,10.0,0.2708,charge,4.989,20.2,3.4172,3.4905,14.6926
25,26.02,10.0,0.22,charge,4.999,20.2,3.3523,3.4536,20.2624
25,25.71,10.0,0.2195,discharge,-4.334,20.2,3.3521,3.2234,29.6961
25,25.8,10.0,0.2199,charge,4.997,20.2,3.3631,3.4591,19.2096
25,26.12,10.0,0.2195,discharge,-5.56,20.2,3.3588,3.1834,31.5462
25,25.42,10.0,0.1735,charge,4.999,20.3,3.1419,3.3043,32.4839
25,25.95,10.0,0.169,charge,4.956,20.2,3.1159,3.2817,33.4517
25,25.7,10.0,0.1549,charge,4.781,25.0,2.6043,2.9818,78.9534
