cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-29-21_10.25_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#146.mat,halfC,146,7000,0.0,24.44,25.24,25.49,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-29-21_10.25_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#146.mat,CAP,146,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_08.00_CC_protocol_halfC_0.5C_dchg_(a2)_IN21700_30T_cycle_#147.mat,halfC,147,6943,0.0,24.65,25.7,25.49,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_08.00_CC_protocol_halfC_CAP_(a2)_forexcel_cycle_#147.mat,CAP,147,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_10.10_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#147.mat,other,147,332,0.0,24.51,25.75,25.17,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_11.27_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#148.mat,other,148,3447,0.0,24.52,25.52,25.76,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_13.55_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#149.mat,other,149,1711,0.0,24.7,26.8,27.3,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-31-21_15.59_CC_protocol_HPPC_IN21700_30T_cycle_#150.mat,HPPC,150,35063,0.0,23.19,25.64,25.61,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-01-21_22.06_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#150.mat,other,150,1045,0.0,24.41,25.17,25.17,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-01-21_23.03_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#151_to_165.mat,drive,151,104600,0.0,24.49,26.09,26.15,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-03-21_05.12_CC_protocol_halfC_0.5C_dchg_(b1)_IN21700_30T_cycle_#166.mat,halfC,166,6965,0.0,24.68,25.55,25.88,
